sample_datetime bat cal_start_datetime f id lat lon num sample_datetime temp x y z igrfx igrfy igrfz igrff
"2012-08-26 22:02:39" 13.2 "2012-08-26 22:00:00" 50279.660397719475 5 48.053768 -127.234833 159 "2012-08-26 22:02:39" 17.33 45232.9 11811.7 18507.1 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:40" 13.2 "2012-08-26 22:00:00" 49839.9932212074 5 48.053768 -127.234833 160 "2012-08-26 22:02:40" 17.36 45432.6 8359.7 18708.8 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:41" 13.2 "2012-08-26 22:00:00" 49993.34090786492 5 48.053768 -127.234833 161 "2012-08-26 22:02:41" 17.37 46435.1 2807.4 18309.4 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:42" 13.2 "2012-08-26 22:00:00" 52562.220269790734 5 48.053768 -127.234833 162 "2012-08-26 22:02:42" 17.39 49808.1 1463.2 16727.2 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:43" 13.2 "2012-08-26 22:00:00" 47775.359369239704 5 48.053768 -127.234833 163 "2012-08-26 22:02:43" 17.41 43839.9 -3837.9 18596.2 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:44" 13.2 "2012-08-26 22:00:00" 46416.80249715613 5 48.053768 -127.234833 164 "2012-08-26 22:02:44" 17.41 41939.1 -7092.5 18583.0 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:45" 13.2 "2012-08-26 22:00:00" 48105.1028165412 5 48.053768 -127.234833 165 "2012-08-26 22:02:45" 17.41 42134.3 -17236.1 15547.3 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:46" 13.2 "2012-08-26 22:00:00" 47490.53516207203 5 48.053768 -127.234833 166 "2012-08-26 22:02:46" 17.39 39430.3 -22454.5 14014.2 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:47" 13.2 "2012-08-26 22:00:00" 39715.947170122985 5 48.053768 -127.234833 167 "2012-08-26 22:02:47" 17.44 30031.9 -20488.0 15990.1 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:48" 13.2 "2012-08-26 22:00:00" 46824.86393851027 5 48.053768 -127.234833 168 "2012-08-26 22:02:48" 17.47 35353.5 -28440.6 11568.5 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
